STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1303;2023092003:25;    1;  118.0;    0.0;    0.0;   0;   111.28;2023092004:00;eor
       1303;2023092004:25;    1;  118.0;    0.0;    0.0;   0;   102.83;2023092005:00;eor
       1303;2023092005:25;    1;  117.0;    0.0;    0.0;   0;    93.73;2023092006:00;eor
       1303;2023092006:25;    1;  117.0;   12.0;   17.0;   7;    84.40;2023092007:00;eor
       1303;2023092007:25;    1;  118.0;   31.0;   47.0;  34;    75.25;2023092008:00;eor
       1303;2023092008:25;    1;  120.0;   54.0;   87.0;  51;    66.71;2023092009:00;eor
       1303;2023092009:25;    1;  126.0;   80.0;   85.0;   3;    59.32;2023092010:00;eor
       1303;2023092010:25;    1;  128.0;   92.0;  114.0;   6;    53.74;2023092011:00;eor
       1303;2023092011:25;    1;  130.0;   93.0;  137.0;  39;    50.70;2023092012:00;eor
       1303;2023092012:25;    1;  129.0;   87.0;  185.0;  57;    50.72;2023092013:00;eor
       1303;2023092013:25;    1;  131.0;   86.0;  228.0;  60;    53.79;2023092014:00;eor
       1303;2023092014:25;    1;  129.0;   63.0;  188.0;  59;    59.39;2023092015:00;eor
       1303;2023092015:25;    1;  124.0;   26.0;  129.0;  60;    66.81;2023092016:00;eor
       1303;2023092016:25;    1;  124.0;   19.0;   66.0;  59;    75.37;2023092017:00;eor
       1303;2023092017:25;    1;  123.0;    9.0;   12.0;  18;    84.54;2023092018:00;eor
       1303;2023092018:25;    1;  124.0;    0.0;    0.0;   0;    93.90;2023092019:00;eor
       1303;2023092019:25;    1;  122.0;    0.0;    0.0;   0;   103.03;2023092020:00;eor
       1303;2023092020:25;    1;  121.0;    0.0;    0.0;   0;   111.51;2023092021:00;eor
       1303;2023092021:25;    1;  121.0;    0.0;    0.0;   0;   118.82;2023092022:00;eor
       1303;2023092022:25;    1;  123.0;    0.0;    0.0;   0;   124.31;2023092023:00;eor
       1303;2023092023:25;    1;  127.0;    0.0;    0.0;   0;   127.31;2023092100:00;eor
       1303;2023092100:25;    1;  126.0;    0.0;    0.0;   0;   127.32;2023092101:00;eor
       1303;2023092101:25;    1;  123.0;    0.0;    0.0;   0;   124.36;2023092102:00;eor
       1303;2023092102:25;    1;  121.0;    0.0;    0.0;   0;   118.89;2023092103:00;eor
       1303;2023092103:25;    1;  121.0;    0.0;    0.0;   0;   111.61;2023092104:00;eor
       1303;2023092104:25;    1;  124.0;    0.0;    0.0;   0;   103.15;2023092105:00;eor
       1303;2023092105:25;    1;  130.0;    0.0;    0.0;   0;    94.04;2023092106:00;eor
       1303;2023092106:25;    1;  123.0;   12.0;   21.0;  31;    84.71;2023092107:00;eor
       1303;2023092107:25;    1;  129.0;   43.0;   79.0;  54;    75.56;2023092108:00;eor
       1303;2023092108:25;    1;  127.0;   50.0;  146.0;  59;    67.04;2023092109:00;eor
       1303;2023092109:25;    1;  128.0;   65.0;  158.0;  60;    59.67;2023092110:00;eor
       1303;2023092110:25;    1;  134.0;  108.0;  142.0;  41;    54.11;2023092111:00;eor
       1303;2023092111:25;    1;  140.0;   95.0;  111.0;  13;    51.09;2023092112:00;eor
       1303;2023092112:25;    1;  143.0;   45.0;   47.0;   0;    51.10;2023092113:00;eor
       1303;2023092113:25;    1;  143.0;   36.0;   37.0;   0;    54.16;2023092114:00;eor
       1303;2023092114:25;    1;  145.0;   23.0;   24.0;   0;    59.74;2023092115:00;eor
       1303;2023092115:25;    1;  144.0;   10.0;   11.0;   0;    67.14;2023092116:00;eor
       1303;2023092116:25;    1;  140.0;   11.0;   12.0;   0;    75.68;2023092117:00;eor
       1303;2023092117:25;    1;  138.0;    5.0;    5.0;   0;    84.85;2023092118:00;eor
       1303;2023092118:25;    1;  140.0;    0.0;    0.0;   0;    94.20;2023092119:00;eor
       1303;2023092119:25;    1;  138.0;    0.0;    0.0;   0;   103.34;2023092120:00;eor
       1303;2023092120:25;    1;  135.0;    0.0;    0.0;   0;   111.84;2023092121:00;eor
       1303;2023092121:25;    1;  126.0;    0.0;    0.0;   0;   119.17;2023092122:00;eor
       1303;2023092122:25;    1;  128.0;    0.0;    0.0;   0;   124.68;2023092123:00;eor
       1303;2023092123:25;    1;  133.0;    0.0;    0.0;   0;   127.69;2023092200:00;eor
       1303;2023092200:25;    1;  132.0;    0.0;    0.0;   0;   127.71;2023092201:00;eor
